,Gene names,BCC Intensity 12_1L,BCC Intensity 12_3L,BCC Intensity 12_5L,BCC Intensity 27_1L,BCC Intensity 27_3L,BCC Intensity 27_5L,BCC Intensity 39_1L,BCC Intensity 39_3L,BCC Intensity 39_5L,BCC Intensity 89_1L,BCC Intensity 89_3L,BCC Intensity 89_5L,BCC Intensity 72_3L,BCC Intensity 103_1L,BCC Intensity 103_3L,BCC Intensity 103_5L,BCC Intensity 107_3L,BCC Intensity 111_3L,BCC Intensity 49_3L,BCC Intensity 105_3L,BCC Intensity 16_3L,BCC Intensity 99_1L,BCC Intensity 99_3L,BCC Intensity 99_5L,BCC Intensity 109_3L,BCC Intensity 73_1L,BCC Intensity 73_3L,BCC Intensity 73_5L,BCC Intensity 92_1L,BCC Intensity 92_3L,BCC Intensity 92_5L,BCC Intensity 54_1L,BCC Intensity 54_3L,BCC Intensity 54_5L,BCC Intensity 104_1L,BCC Intensity 104_3L,BCC Intensity 104_5L,SCC Intensity 21_1L,SCC Intensity 21_3L,SCC Intensity 21_5L,SCC Intensity 31_1L,SCC Intensity 31_3L,SCC Intensity 31_5L,SCC Intensity 32_1L,SCC Intensity 32_3L,SCC Intensity 32_5L,SCC Intensity 90_1L,SCC Intensity 90_3L,SCC Intensity 90_5L,SCC Intensity 59_3L,SCC Intensity 88_3L,SCC Intensity 110_3L,SCC Intensity 45_3L,SCC Intensity 60_3L,SCC Intensity 95_3L,SCC Intensity 101_3L,SCC&BCC Intensity 25_1L,SCC&BCC Intensity 25_3L,SCC&BCC Intensity 25_5L,keratosis Intensity 33_1L,keratosis Intensity 33_3L,keratosis Intensity 33_5L
2216,PSMD10,39553000,54880000,0,11785000,3789000,41753000,42941000,35459000,79295000,59606000,186830000,34937000,40160000,117600000,44726000,65092000,31222000,16208000,60168000,65116000,14226000,14037000,3672000,14432000,32152000,107920000,140240000,102060000,133500000,82024000,15858000,14856000,0,17419000,33654000,102200000,76564000,60515000,0,71089000,47516000,17989000,3444900,17188000,13922000,62949000,77838000,157900000,48008000,12158000,3911700,10442000,11669000,46529000,22443000,26350000,46538000,66126000,18227000,34519000,61930000,34534000
2217,ZMPSTE24,187460000,88042000,118710000,10776000,0,7791700,45052000,47757000,40110000,36801000,212850000,23545000,54016000,83092000,81479000,69455000,9888400,10529000,20635000,55772000,11753000,9092800,16180000,9645800,39292000,42004000,15587000,49376000,48939000,189530000,54671000,0,8199800,791250,3152900,14696000,7913300,76353000,12332000,115670000,25276000,35547000,16473000,28694000,49317000,47205000,14042000,244330000,8584800,21668000,4418100,35831000,2371900,85906000,0,2773800,6673900,7484300,0,16238000,85104000,39351000
2218,BBOX1,68501000,119270000,66284000,0,0,18541000,0,0,0,49011000,0,39949000,0,7462200,5091300,14840000,7663300,3225400,0,0,784690,2046800,0,0,0,0,0,0,12853000,0,3603800,0,15202000,29064000,0,8604600,5801300,52956000,45971000,86473000,0,0,0,0,15033000,5358100,13958000,8391800,13371000,0,1025300,0,441070,1021900,0,9374400,100590000,69973000,115300000,0,23578000,20782000
2219,ENDOD1,263910000,144380000,131090000,3676400,0,0,6710500,10659000,14327000,39877000,36317000,17187000,2253300,66114000,50903000,33520000,25510000,3046500,10116000,29140000,9912200,7534800,11872000,7160800,17458000,77766000,60237000,50525000,42172000,7412300,52695000,0,0,3478300,1750800,53667000,12450000,120770000,87811000,129120000,9502700,17861000,9330600,21280000,30900000,24287000,44639000,266170000,48351000,5808700,10552000,0,7711200,7754600,3677500,54416000,0,0,0,20814000,44863000,11526000
2220,ZRANB2,233620000,606640000,87989000,138830000,30807000,182980000,68964000,36329000,57554000,0,51207000,0,32863000,3109900,0,2856600,15321000,15018000,36109000,2867100,48775000,10275000,29733000,57847000,16064000,37935000,55239000,82771000,14033000,35829000,39506000,0,0,0,0,0,0,44548000,9709700,60573000,30564000,23574000,10861000,0,104230000,0,2819300,8983900,1019100,31856000,0,55191000,3193100,14089000,4316400,0,206550000,180200000,120780000,4505200,14789000,50966000
2221,PGM3,87797000,88763000,69739000,44924000,27332000,8490300,27949000,32200000,34648000,20169000,142490000,31453000,21233000,73636000,51342000,39071000,15404000,8781600,49351000,78866000,54138000,12331000,24486000,15261000,72769000,61594000,149220000,103980000,114530000,46862000,55572000,3004700,9081700,6379700,19861000,67927000,41513000,4163400,28040000,76145000,48879000,79733000,68109000,38059000,19268000,9080800,37563000,105690000,7580700,34007000,5449700,19579000,13914000,29283000,14901000,0,27787000,92374000,15202000,0,20354000,20741000
2222,AHSA1,184140000,327650000,138020000,39412000,30852000,158620000,39228000,4081500,44624000,59808000,160220000,40297000,61227000,72162000,66883000,34443000,28167000,37080000,21180000,69843000,46295000,41221000,57069000,84387000,41206000,55187000,169260000,203370000,105750000,97538000,126470000,17567000,30617000,53563000,34980000,82166000,69786000,47506000,143090000,85314000,37592000,62454000,64758000,66835000,45168000,68445000,54024000,205380000,41335000,32222000,1880200,104570000,5603200,54237000,36485000,12918000,157310000,48048000,56073000,35324000,49695000,30093000
2223,STAMBP,130930000,166450000,79464000,24296000,17522000,34378000,8600500,0,16806000,11084000,43472000,7269500,4664600,15873000,23683000,17478000,11939000,8886000,8512000,16344000,13163000,7947500,24289000,9349600,11712000,31930000,57858000,29213000,27199000,48653000,27246000,0,0,15260000,5132900,32678000,21393000,46031000,0,38525000,9976500,15693000,7591400,39034000,2977800,2877800,8371400,28277000,11512000,20230000,2263900,13036000,4239700,12583000,4220800,0,61974000,110760000,27438000,7571200,38045000,23553000
2224,CYB5A,3807400000,6253300000,4218200000,50471000,39159000,75041000,122550000,98320000,182720000,330040000,182690000,566060000,204810000,2440300000,158290000,466910000,203650000,11320000,59338000,44030000,28428000,96375000,143590000,34444000,98439000,212440000,155040000,59551000,598090000,241860000,548120000,82326000,82321000,102260000,110890000,383510000,322840000,396580000,1233100000,1365700000,146230000,40183000,37613000,346820000,190570000,188680000,730480000,78672000,747750000,39573000,21294000,17372000,6024500,275170000,1444200,42605000,570730000,423960000,217630000,212230000,364280000,406020000
2225,CYBB,64681000,44577000,34858000,0,0,0,24876000,23543000,34599000,13149000,141060000,11501000,35077000,17704000,648590000,30467000,0,76364000,314980000,106470000,15815000,17230000,80820000,28552000,169380000,15235000,5730200,4893300,52079000,188340000,24857000,2311900,7860600,1377000,4445000,10806000,26845000,93811000,11145000,19321000,77077000,10177000,97203000,32788000,37507000,32279000,10747000,335640000,30362000,50189000,1198700,43790000,8866400,119630000,8124700,8610200,86063000,88354000,2128400,121410000,198640000,62132000
