,Gene names,BCC Intensity 12_1L,BCC Intensity 12_3L,BCC Intensity 12_5L,BCC Intensity 27_1L,BCC Intensity 27_3L,BCC Intensity 27_5L,BCC Intensity 39_1L,BCC Intensity 39_3L,BCC Intensity 39_5L,BCC Intensity 89_1L,BCC Intensity 89_3L,BCC Intensity 89_5L,BCC Intensity 72_3L,BCC Intensity 103_1L,BCC Intensity 103_3L,BCC Intensity 103_5L,BCC Intensity 107_3L,BCC Intensity 111_3L,BCC Intensity 49_3L,BCC Intensity 105_3L,BCC Intensity 16_3L,BCC Intensity 99_1L,BCC Intensity 99_3L,BCC Intensity 99_5L,BCC Intensity 109_3L,BCC Intensity 73_1L,BCC Intensity 73_3L,BCC Intensity 73_5L,BCC Intensity 92_1L,BCC Intensity 92_3L,BCC Intensity 92_5L,BCC Intensity 54_1L,BCC Intensity 54_3L,BCC Intensity 54_5L,BCC Intensity 104_1L,BCC Intensity 104_3L,BCC Intensity 104_5L,SCC Intensity 21_1L,SCC Intensity 21_3L,SCC Intensity 21_5L,SCC Intensity 31_1L,SCC Intensity 31_3L,SCC Intensity 31_5L,SCC Intensity 32_1L,SCC Intensity 32_3L,SCC Intensity 32_5L,SCC Intensity 90_1L,SCC Intensity 90_3L,SCC Intensity 90_5L,SCC Intensity 59_3L,SCC Intensity 88_3L,SCC Intensity 110_3L,SCC Intensity 45_3L,SCC Intensity 60_3L,SCC Intensity 95_3L,SCC Intensity 101_3L,SCC&BCC Intensity 25_1L,SCC&BCC Intensity 25_3L,SCC&BCC Intensity 25_5L,keratosis Intensity 33_1L,keratosis Intensity 33_3L,keratosis Intensity 33_5L
0,AHNAK,78729000000,156040000000,85021000000,43975000000,19304000000,83314000000,23138000000,25789000000,19531000000,57394000000,25689000000,49293000000,21028000000,38262000000,11988000000,35627000000,19938000000,17129000000,15138000000,15410000000,12183000000,11946000000,25213000000,16327000000,8590400000,49658000000,78987000000,56705000000,42396000000,27426000000,31657000000,16560000000,30591000000,33419000000,17002000000,20027000000,22380000000,37401000000,65704000000,60635000000,25073000000,41452000000,20075000000,27769000000,24816000000,11244000000,25306000000,55444000000,15049000000,8325100000,2883500000,5813700000,2966500000,14356000000,6223100000,397560000,73842000000,60102000000,76087000000,11909000000,23331000000,22390000000
1,PLEC,32419000000,13572000000,29106000000,28577000000,13302000000,31508000000,7172200000,10833000000,11287000000,11683000000,23633000000,9600200000,4670300000,5068900000,9803100000,4825200000,9047900000,10713000000,10502000000,20270000000,8450300000,3913100000,12272000000,9666400000,9524700000,26378000000,38017000000,43614000000,8137100000,42212000000,38834000000,2272000000,4629500000,8400800000,5895900000,5485900000,6337900000,17952000000,18492000000,22536000000,6779900000,22810000000,12458000000,15839000000,23564000000,7970200000,3739700000,97827000000,2365000000,5186900000,563840000,6659200000,4332700000,4334300000,4821200000,2246100000,33275000000,29116000000,26459000000,4930300000,10888000000,7565400000
2,DSP,56083000000,24062000000,51952000000,22222000000,15249000000,50050000000,15635000000,3559700000,20128000000,50193000000,20746000000,30206000000,1430200000,3824800000,11756000000,1785900000,16730000000,63871000000,9477800000,20849000000,10608000000,13121000000,23559000000,23241000000,15717000000,17842000000,30249000000,46293000000,10359000000,25859000000,25572000000,1819000000,3682700000,18715000000,7579700000,10922000000,8043300000,64757000000,68529000000,77105000000,19750000000,16352000000,6715900000,31914000000,21829000000,13108000000,17707000000,17154000000,4473400000,7155300000,3268100000,38033000000,4307200000,5713700000,3821900000,21196000000,66285000000,90415000000,98591000000,16389000000,25932000000,26911000000
3,DYNC1H1,12359000000,4669300000,6827800000,3065700000,1639800000,6309700000,1521300000,1891600000,2080100000,2955400000,5202000000,1912300000,357280000,1712900000,2221800000,1620200000,1608700000,1609400000,763240000,2438000000,1364200000,1195000000,2735300000,2377200000,1632200000,2773900000,3804200000,4875300000,2361600000,2331200000,2514400000,473780000,939070000,1941600000,978490000,2060700000,2167500000,4639400000,5063300000,6272700000,1724900000,2032700000,1760900000,2951600000,2811200000,2545300000,1202100000,7220800000,649630000,922290000,184530000,1568100000,227420000,1140300000,504280000,265000000,7510300000,7394400000,5012100000,1483500000,2630900000,1938800000
4,MYH9,75731000000,44028000000,39473000000,28850000000,10999000000,46907000000,11589000000,20930000000,25051000000,15063000000,57176000000,8482500000,5924800000,9669500000,36742000000,7819300000,15231000000,15679000000,33407000000,46671000000,23753000000,8593000000,25013000000,18273000000,24995000000,69560000000,79036000000,100720000000,16822000000,57349000000,44361000000,4060100000,7182600000,10409000000,6044800000,20602000000,17365000000,46274000000,29976000000,29258000000,20257000000,34473000000,32920000000,23925000000,23326000000,19838000000,13824000000,94651000000,9732600000,9162900000,2462300000,13123000000,3747100000,8474300000,8216800000,6197700000,32905000000,27413000000,21217000000,11630000000,21827000000,13636000000
5,AHNAK2,3538200000,5876900000,2497300000,2096600000,1165000000,5038400000,476830000,293370000,949770000,5047500000,2255100000,4495600000,638380000,1613100000,875810000,1547300000,1371200000,1199800000,210930000,670410000,631840000,889800000,755110000,856930000,378520000,2793200000,4078000000,3143600000,2912300000,399710000,1275700000,1286800000,1558600000,2810000000,1202600000,651520000,862000000,4236200000,3394800000,3787800000,2035200000,11643000000,3747400000,3372000000,3531900000,1574000000,2185700000,9683800000,942840000,585280000,137580000,121970000,171780000,474630000,888990000,3872000,6542700000,4481100000,7793600000,602140000,1144600000,1150300000
6,FLG,34003000000,35121000000,37911000000,1263500000,2526200000,280550000000,2694400000,123150000,68250000000,108950000000,130880000,63475000000,545390000,3906400000,5776900000,2164700000,24685000000,5376500000,1306000000,175490000,8543500000,10408000000,10957000000,44868000000,290070000,27519000000,23717000000,18468000000,124730000000,4127300000,20488000000,34131000000,28397000000,92335000000,50577000000,5242600000,8096400000,25973000000,59850000000,48267000000,40276000000,162750000,9715900000,52926000000,19227000000,99213000000,62934000000,195240000,17087000000,13696000,1538200000,3795000,1610000000,3900600000,183750000,42215000000,78187000000,37928000000,43750000000,187760000000,87249000000,212990000000
7,PRKDC,7157500000,3439400000,4187100000,3862300000,2464300000,4960600000,1140900000,1363500000,1664200000,1174400000,4961400000,557100000,306880000,848250000,1652900000,788010000,1331100000,2085100000,816630000,1819100000,1347700000,771070000,2914300000,2197000000,1285300000,2646300000,3751600000,4735200000,1321700000,3643600000,3769400000,108680000,195160000,1047000000,281540000,1621000000,1490400000,1775400000,1559900000,3156700000,887050000,561510000,767890000,1529900000,1948200000,858740000,384760000,5663200000,290010000,1059900000,74880000,1817600000,156590000,999260000,406800000,78371000,5565700000,6133600000,2014500000,918460000,1938900000,851150000
8,MYH2,230290000,350630000,272000000,85069000,56565000,199590000,39700000000,128940000000,11395000000,107140000,27386000,116250000,5636500,79912000,120260000,1099300000,78460000,192890000,9942900,56557000,23774000000,52692000,60222000,67638000,16658000,103500000,244940000,104420000,61635000,41139000,55415000,19116000,23833000,65373000,5454900,13064000,22743000,238260000,139100000,96551000,122340000,200650000,44695000,68295000,105260000,89238000,100900000,145460000,21027000,103460000,888420,44028000,1474700,16375000,17172000,66567000,128850000,169840000,283630000,78154000,34242000,198710000
9,SPTAN1,11029000000,12792000000,12361000000,5684800000,2316100000,12638000000,3707400000,4078200000,2875200000,5415100000,4805900000,4278100000,2593700000,4345100000,1982400000,3833100000,3453200000,1337000000,1110800000,1907400000,1646700000,1177800000,2785800000,2350200000,1085700000,3829600000,7432000000,6419200000,3730600000,3551000000,4270100000,2176400000,4030600000,4039200000,3448100000,2534800000,3061500000,3816400000,12091000000,9466300000,1562500000,1421800000,1383400000,2750100000,1845100000,1297000000,2448700000,5545400000,1070200000,545910000,91743000,1775200000,137320000,1147900000,224050000,144260000,12916000000,10602000000,11549000000,1640800000,3300500000,2452300000
10,COL6A3,42037000000,43538000000,29711000000,8863700000,2173600000,8182300000,13219000000,19994000000,5556000000,17191000000,15291000000,15295000000,14663000000,9983800000,6154800000,10913000000,7377800000,1859000000,14287000000,7650700000,7523000000,1948500000,2137600000,3741900000,6086100000,10713000000,9557100000,7666400000,10082000000,10948000000,22476000000,9798500000,35040000000,8957100000,37376000000,19649000000,27532000000,14120000000,58946000000,47911000000,1809500000,2273900000,9610400000,2229700000,5258600000,1740000000,2371000000,20840000000,973080000,1875700000,1033900000,2741800000,3666100000,963720000,705620000,95982000,61759000000,15727000000,44131000000,1498100000,6028500000,1094200000
11,FLNB,20648000000,30984000000,17609000000,5785500000,3086700000,10192000000,1811800000,2929700000,3904800000,4391200000,4738200000,3938500000,777480000,4751300000,4635700000,2596800000,3109500000,2410700000,1099700000,6620600000,1839700000,2369400000,4573600000,3849700000,2642700000,10977000000,13761000000,12954000000,5383500000,2034600000,3575700000,1012100000,1605600000,2865200000,1536500000,2870300000,2679400000,20302000000,8384400000,11431000000,4673900000,14724000000,5031000000,9764400000,9367800000,3972200000,5553200000,28012000000,2546200000,2071300000,1142700000,2534500000,853660000,1656500000,2906500000,4719600000,8475500000,7645600000,8377200000,2127000000,5482400000,3282400000
12,TTN,389890000,637060000,400000000,182220000,161510000,449960000,329050000,1238700000,109850000,96208000,68020000,4217000000,48508000,381290000,190920000,200000000,57414000,18762000,269000000,48977000,245610000,15311000,46314000,184680000,46175000,82604000,127090000,4905600,559630000,34918000,378820000,232520000,196960000,43253000,19691000,51741000,17280000,216290000,185820000,2457000000,117050000,213470000,108530000,172980000,157730000,94003000,74018000,318850000,525790000,19738000,1402600,41284000,7790300,60361000,75862000,0,527290000,199870000,197930000,211750000,202880000,735790000
13,NEB,185340000,100490000,145180000,10510000,22381000,100060000,377280000,2420000000,100310000,0,52877000,3444500,0,0,0,1325900,0,4202500,23703000,20954000,10993000,6617500,39473000,15343000,10654000,23774000,42868000,33115000,37397000,63079000,31467000,11986000,7889200,0,9457200,31553000,35796000,204030000,101080000,100420000,70714000,46384000,55917000,76376000,83676000,49183000,0,0,0,7010000,0,0,1268600,0,9254000,0,141120000,106810000,32431000,20276000,47703000,30162000
14,APOB,2233900000,928180000,1652000000,472500000,94275000,2354600000,715030000,446510000,379050000,1779300000,281930000,1575100000,369030000,360630000,6778100000,306740000,1178700000,245880000,379090000,289170000,265070000,530050000,593910000,668220000,591910000,99959000,141710000,153750000,1445100000,580970000,905770000,577620000,420790000,368180000,1406600000,184340000,751520000,1309600000,5075500000,2924200000,505560000,178180000,430290000,268990000,196860000,2390800000,836910000,855900000,269920000,437980000,9744600,93298000,63008000,797630000,414270000,10890000,5548100000,1978000000,3141500000,256960000,1313000000,160670000
15,EPPK1,5890100000,2047200000,6557400000,2101500000,1094700000,4187700000,404960000,195450000,1373100000,11305000000,958390000,6332200000,62771000,1268400000,1620200000,716820000,1682900000,2281800000,205600000,2189800000,657500000,1139100000,1664800000,1421700000,662290000,2594700000,3385200000,4186500000,3559300000,420410000,1209600000,230380000,1309300000,4782300000,2033100000,2674200000,1983100000,4137200000,9152200000,7566500000,719030000,3078400000,1141800000,4654700000,3816400000,1562300000,1746800000,2691200000,512240000,5884500,364400000,393030000,49143000,701520000,129890000,3214900000,6961800000,4185500000,11376000000,895650000,1342200000,1355000000
16,FLNA,26349000000,33094000000,18876000000,26254000000,12124000000,31298000000,7759400000,13326000000,14101000000,10947000000,17786000000,10435000000,10649000000,8006800000,20548000000,9122800000,10031000000,18504000000,19571000000,27690000000,19872000000,5626900000,18654000000,13056000000,14304000000,78272000000,155670000000,142230000000,20083000000,37519000000,43706000000,4701400000,9283300000,9709800000,6109400000,11802000000,11315000000,22369000000,17314000000,21337000000,9526100000,22255000000,13411000000,10524000000,14359000000,6101400000,9646500000,56232000000,6873700000,4111500000,787110000,3586500000,2454300000,5561700000,2173100000,1900400000,18677000000,20469000000,10680000000,4910900000,11800000000,5979100000
17,NUMA1,1948400000,1753400000,1553500000,9625200000,4903900000,10261000000,770990000,1514700000,1697800000,605280000,4781300000,267800000,701440000,629950000,841630000,484550000,2267200000,1075600000,1111400000,1215300000,1731800000,305700000,2057500000,1220700000,988640000,2235100000,8971800000,7810300000,1098500000,4240300000,3664900000,105980000,136580000,1092400000,298850000,1654000000,1396200000,317490000,739980000,915850000,368570000,427120000,518240000,415840000,569330000,324770000,250340000,1161500000,165790000,659010000,22676000,1098400000,50921000,210080000,43757000,44074000,3783800000,4277800000,1516800000,492530000,1123700000,589300000
18,FASN,156200000000,147610000000,108760000000,1460300000,1146600000,8733200000,930280000,518860000,1451300000,4748400000,1460600000,9762700000,97913000,32167000000,1679000000,3100800000,934860000,1002000000,299720000,1812300000,678430000,1085500000,1982800000,1833000000,460040000,1031700000,1129800000,1751200000,22776000000,3046700000,13675000000,212370000,601730000,773200000,612180000,8181500000,6884700000,2806900000,31162000000,27257000000,1638600000,911720000,919300000,1653400000,767480000,977110000,11357000000,2092500000,8180300000,249120000,195690000,1210800000,62678000,4985800000,245270000,240100000,20597000000,1513600000,2468600000,699400000,1174500000,1652900000
19,TLN1,10662000000,4738300000,4359300000,4629500000,1416000000,3984900000,3401100000,4205800000,2882000000,3849700000,4550600000,2029400000,2531500000,3541700000,4710900000,2849100000,1634700000,1326100000,5673700000,3456900000,2285700000,995690000,2248900000,2084600000,3038200000,4130000000,5850800000,6700500000,4044000000,6488500000,4966600000,1699100000,2463600000,1710600000,2005900000,2557700000,2534600000,3773400000,9310900000,5754700000,2720900000,1702400000,3463000000,2027300000,2341000000,2366600000,2448900000,7744600000,3039800000,1002400000,178970000,962370000,708660000,1406300000,584950000,49758000,7484600000,7826900000,5271600000,1886100000,3725200000,2045000000
20,MACF1,3550700000,999710000,2051800000,367990000,182330000,1711600000,76201000,50228000,351380000,315120000,917100000,218160000,92770000,120650000,272150000,86920000,258800000,475110000,176590000,386480000,195850000,253300000,396380000,410200000,242340000,556700000,526160000,683630000,301410000,839220000,488370000,34756000,63492000,181270000,62456000,505340000,279110000,1227300000,445620000,1160600000,399450000,1028400000,329720000,1131600000,1011800000,434140000,650540000,1335600000,68452000,202930000,46934000,403760000,67148000,341250000,134210000,199110000,2004000000,2161500000,1765900000,256100000,497280000,401910000
21,PPL,6880800000,9237500000,7501500000,2320100000,1148800000,10808000000,1376000000,675350000,1425500000,4409100000,1293000000,2438400000,887230000,1738700000,692110000,1332200000,2229600000,676570000,317870000,1446300000,831820000,1206500000,1560900000,1561300000,457470000,2034400000,4063000000,3441600000,3076500000,2093900000,2999700000,501890000,999070000,2123800000,1261600000,1435600000,1664900000,2828900000,5711300000,5805900000,1650100000,229030000,328040000,2951800000,1091000000,1635500000,1959200000,352910000,654750000,336600000,291080000,1132800000,73778000,671190000,37994000,781610000,7873700000,5947500000,9269400000,1589400000,2902200000,1860400000
22,SPTBN1,8838400000,5045700000,6085700000,3440600000,1301700000,5352800000,2328200000,2935800000,1249100000,2490000000,3392900000,2066200000,1687400000,2680000000,1193400000,1929900000,2124500000,851110000,1290600000,1340900000,1454700000,652400000,1548000000,1273200000,1000100000,2439000000,4211200000,4093600000,2190800000,3047900000,3669200000,1419300000,2962800000,1768200000,1933000000,2142900000,2564300000,1849400000,7563400000,5256500000,517950000,860040000,1260200000,941960000,859020000,411240000,997850000,4587500000,663670000,528920000,40897000,1335400000,182570000,824630000,175930000,24720000,7114600000,6624300000,4717700000,681190000,1265600000,1048300000
23,C3,15911000000,11138000000,12083000000,3359600000,922730000,9240200000,6546600000,5267100000,4016400000,10807000000,4118300000,7259900000,2416300000,4928600000,36560000000,5142700000,8086900000,4099200000,3992200000,5107000000,2239600000,3315700000,3155500000,2921300000,7817400000,1761100000,1604700000,1886000000,9975500000,7877700000,6156000000,2570700000,2693800000,2057100000,10316000000,6164000000,10677000000,8751000000,32693000000,18718000000,3796300000,1702100000,2872900000,1767600000,1902800000,2950800000,8656700000,6469100000,4549800000,2274900000,89848000,586960000,974400000,3385300000,14702000000,1859300000,44653000000,12127000000,16848000000,2529200000,2957600000,2086400000
24,TNXB,2049800000,4957000000,3090800000,431250000,104410000,1641600000,3897400000,5762700000,600930000,7945700000,24868000,6689600000,616720000,1557200000,166340000,849160000,598470000,32861000,99970000,192260000,63130000,107220000,60428000,367650000,121800000,395680000,383170000,806950000,2576100000,276360000,523920000,5811100000,3735100000,2035200000,5001900000,1316400000,2786500000,23223000,2536300000,2063000000,22117000,307600000,115500000,109230000,107170000,72999000,842970000,172510000,243330000,12047000,7184300,44400000,3277700,51595000,12015000,5470000,4228300000,1835700000,6643200000,23256000,65027000,141810000
25,MYH7,75294000,44176000,356680000,241930000,0,113690000,14778000000,18716000000,317120000,0,9106600,0,0,127840000,18883000,429100000,0,1760500,0,7172800,948720000,0,0,0,6693200,35346000,30693000,34245000,0,0,0,47959000,7459600,38144000,0,8954500,3773300,43589000,126160000,101160000,3463800,2990200,4321100,0,7013300,8634800,3013500,0,0,3154600,6234600,0,0,0,317010,0,127730000,180070000,158600000,29363000,43187000,66509000
26,COL1A1,358420000000,418440000000,345900000000,130950000000,29407000000,197350000000,224680000000,243790000000,103240000000,259720000000,32395000000,275300000000,116450000000,134360000000,40491000000,182300000000,118650000000,36880000000,87009000000,22539000000,52084000000,38425000000,49165000000,60912000000,120880000000,58344000000,41143000000,53226000000,231330000000,49483000000,74409000000,414810000000,493370000000,419220000000,244220000000,187680000000,194740000000,107690000000,819270000000,721860000000,191570000000,159020000000,226010000000,80919000000,56318000000,11690000000,200530000000,63803000000,95783000000,9387800000,2882900000,1398200000,5421500000,19316000000,6642900000,1224700000,493000000000,274460000000,453530000000,22020000000,38058000000,39937000000
27,ALB,659270000000,584390000000,539290000000,204750000000,105540000000,356790000000,335530000000,289610000000,231590000000,340610000000,218890000000,376310000000,163060000000,220430000000,273200000000,273470000000,224520000000,71264000000,176540000000,208960000000,98728000000,109990000000,132670000000,114120000000,225920000000,110890000000,114370000000,146300000000,389910000000,211310000000,192400000000,272220000000,242100000000,286220000000,279080000000,379090000000,372330000000,393970000000,1429000000000,808890000000,267900000000,144680000000,169090000000,104620000000,120890000000,178330000000,319350000000,223910000000,167360000000,69852000000,13539000000,13384000000,25759000000,97460000000,137170000000,65113000000,864670000000,600610000000,894170000000,150880000000,239930000000,204380000000
28,HSPG2,1267400000,3365500000,1912400000,1616000000,363950000,1203900000,1331800000,2449900000,638200000,347180000,1625000000,268060000,1061900000,429200000,924360000,255750000,278950000,811040000,1814800000,1033900000,1680500000,236000000,702560000,752820000,405340000,1359500000,1777500000,1964600000,2767300000,1541200000,2268600000,632510000,2173500000,676700000,749750000,93411000,188130000,682730000,5690000000,2912100000,783670000,271780000,735910000,325210000,546190000,294460000,316420000,2786200000,45430000,161200000,5090500,216020000,221390000,58147000,79559000,24762000,1341000000,303180000,1069400000,196190000,814010000,316760000
29,EVPL,5035600000,4726100000,4675800000,256910000,233710000,5283800000,766160000,61969000,912040000,2878300000,222910000,1521100000,8784300,653620000,262720000,658100000,1144000000,495010000,44799000,576840000,226330000,612620000,691500000,1225900000,133370000,426160000,337470000,692040000,1074100000,396580000,434650000,126270000,349980000,1065200000,584260000,618370000,561850000,2607700000,3372000000,3389000000,1345000000,167490000,222610000,2283700000,1096200000,1014000000,950460000,305530000,261650000,175630000,171610000,212550000,113950000,304400000,21505000,357530000,4506100000,3730400000,7033800000,1486900000,2281300000,1782400000
30,IQGAP1,12660000000,4898100000,6293800000,3804300000,1525000000,3669300000,1893800000,2415000000,2329100000,4477900000,5371900000,2948700000,1375100000,3658900000,3756000000,4024400000,2115700000,1160400000,1346800000,2697300000,1058000000,1334500000,2658800000,1671500000,1627400000,4342500000,5894400000,7048200000,3586800000,2719600000,2765300000,1143900000,1619900000,2339700000,1390100000,2347200000,2301100000,6077400000,6568800000,6672000000,2435100000,3902200000,3098300000,4223700000,3421700000,2688200000,2204500000,8533800000,1028700000,903650000,297310000,1578100000,320490000,1584500000,871650000,308710000,7468400000,7332500000,7021700000,2086700000,4017200000,2567000000
31,SYNE2,535690000,162870000,401470000,868350000,367120000,970450000,121310000,110850000,194450000,365640000,919240000,318000000,173310000,94387000,119210000,62243000,361930000,228260000,26611000,221170000,145350000,63171000,471190000,280240000,211610000,612950000,1049200000,1676800000,300690000,771230000,618090000,166210000,32405000,186510000,241050000,231020000,337000000,188410000,210250000,279840000,95290000,209850000,80614000,189580000,265700000,121300000,84524000,852330000,91092000,103350000,885120,496040000,20249000,74887000,21920000,0,498650000,821720000,756820000,100630000,193050000,188970000
32,COL1A2,182690000000,219980000000,189710000000,66762000000,15019000000,97197000000,111940000000,127690000000,53698000000,125440000000,15737000000,138900000000,51694000000,75945000000,18380000000,84862000000,52157000000,16850000000,43995000000,9513700000,19334000000,18271000000,22771000000,30023000000,51408000000,30942000000,24396000000,30285000000,185380000000,23163000000,42447000000,219770000000,231050000000,232580000000,130860000000,110650000000,125470000000,47532000000,390590000000,355190000000,94085000000,76507000000,103050000000,41183000000,28714000000,5562500000,106660000000,27759000000,41191000000,4178000000,1864100000,733650000,2888900000,8999600000,3603700000,696760000,254880000000,139050000000,223560000000,12322000000,20172000000,21466000000
33,COL12A1,250900000,322770000,164020000,985420000,217440000,451010000,83384000,410110000,363790000,699230000,902140000,546230000,449790000,33902000,1122200000,145650000,671410000,255950000,702550000,1617900000,1281700000,30517000,869330000,347390000,497080000,699450000,927840000,877440000,220370000,920170000,454980000,147820000,213260000,72529000,1049300000,556490000,603920000,1835200000,2336900000,1845700000,453650000,490000000,1655400000,79487000,318960000,156250000,126440000,2741200000,24441000,96218000,10378000,116300000,310350000,33422000,55825000,106660000,2456400000,703930000,3764300000,42681000,255610000,32051000
34,CLTC,16357000000,7741500000,8693600000,2291700000,1293600000,3894600000,2762000000,2771400000,2410000000,3079000000,6848600000,2226300000,1026000000,2381900000,3600100000,1957800000,2042800000,1565300000,1818000000,3449800000,1772300000,1511000000,2940100000,2485600000,2004800000,4140400000,3945400000,6036600000,3816500000,5928900000,6133300000,842330000,1633300000,2341100000,1217900000,2582400000,2670200000,5022100000,6421100000,7296900000,2786700000,4403800000,3333200000,4200000000,3707300000,2582000000,1682900000,12753000000,1183900000,1694800000,391340000,1412500000,609620000,1906500000,834370000,535430000,6591600000,5666300000,5025900000,1989900000,3947700000,1920000000
35,SPTA1,916900000,163470000,301290000,88188000,2978300,1112500000,2703300000,452510000,188290000,2195100000,53994000,2831200000,16773000,300350000,627090000,130590000,329090000,74337000,287600000,15363000,31966000,25304000,37183000,26453000,74041000,27533000,21966000,58903000,27057000,8050600,179360000,38981000,3820900000,30030000,112960000,204300000,496340000,51251000,153620000,110950000,45493000,19452000,46520000,50780000,28317000,35975000,932610000,474610000,2489500000,15475000,7415900,21030000,13692000,144100000,162430000,23755000,217820000,217800000,259110000,525410000,320970000,402340000
36,FBN1,901090000,518220000,712180000,201480000,0,742650000,6990200000,10491000000,1460900000,1157700000,132100000,1414500000,166150000,37606000,272650000,28566000,412550000,231040000,1420700000,166510000,1223700000,181700000,120970000,521620000,562700000,72475000,36461000,285080000,446870000,341070000,404030000,991770000,2863500000,1092200000,1811900000,8339000,1129000000,44976000,4778500000,3343400000,136030000,132720000,174700000,80354000,184160000,37371000,70539000,1098100000,8595300,1039700,514220,5499400,255850000,22286000,2533800,65797000,3528400000,819750000,3183500000,6163200,62617000,1287300
37,MYH10,1178300000,978750000,1335000000,3090300000,1236200000,3088900000,210600000,491840000,518330000,74337000,707200000,52049000,298160000,441760000,265760000,185660000,385820000,414720000,429370000,821540000,920240000,79084000,1265300000,575740000,887700000,791580000,2396500000,2225500000,202100000,2282500000,1600400000,124540000,215700000,186850000,64494000,385990000,277900000,573150000,958350000,992190000,166450000,513730000,766760000,179140000,261700000,168890000,45058000,573360000,29088000,80789000,13352000,416400000,25589000,47675000,8565800,10865000,417530000,292750000,380940000,56108000,128170000,102530000
38,COL3A1,68031000000,65077000000,66604000000,12044000000,1246800000,13730000000,72646000000,88722000000,24826000000,58694000000,2604100000,67968000000,8308200000,8617400000,2291900000,7394600000,20399000000,5597100000,15773000000,1740200000,11843000000,3215400000,2559800000,7704200000,15254000000,5396900000,3702300000,9701800000,15108000000,4315200000,10578000000,65893000000,114170000000,65090000000,67964000000,11968000000,19276000000,6733000000,160250000000,128750000000,7934000000,8293800000,16222000000,4782400000,5130000000,814770000,16592000000,6103800000,5764500000,597110000,113070000,353960000,835810000,960080000,522010000,62157000,117020000000,37447000000,72106000000,1648600000,3231000000,2670700000
39,RRBP1,5323100000,6257900000,3692500000,1255900000,413940000,2293900000,918430000,1360300000,1004000000,666250000,2872500000,551140000,3174200000,608550000,2152600000,1376100000,369680000,715680000,3123600000,2404300000,1391700000,630060000,1153800000,636670000,2156200000,3199700000,1934300000,2235500000,1343700000,1058000000,1286300000,483020000,890670000,539280000,189230000,353000000,472970000,2708600000,2570000000,2427400000,6795300000,4785800000,6812600000,1962000000,2337200000,1114700000,889450000,4566500000,366560000,995400000,79578000,766830000,180350000,644720000,199330000,242730000,1792900000,2145000000,1046600000,684350000,4425900000,1239700000
40,TF,57192000000,90321000000,60449000000,16211000000,5407100000,41310000000,37232000000,35608000000,18853000000,73651000000,25488000000,66207000000,15067000000,25632000000,65636000000,26203000000,31341000000,8125800000,10341000000,17883000000,12552000000,9487500000,11692000000,8623800000,21048000000,15232000000,12703000000,14224000000,59856000000,21765000000,23314000000,21818000000,21113000000,19464000000,70180000000,53455000000,70144000000,27152000000,164300000000,87792000000,17055000000,8141800000,8745400000,7673100000,8224200000,12893000000,62080000000,23751000000,17692000000,9741800000,371660000,3038000000,2755000000,7990400000,44025000000,7261900000,121930000000,56748000000,96971000000,10228000000,15885000000,12557000000
41,SPTB,1079400000,127070000,378230000,143010000,9516100,992970000,1040200000,732970000,187020000,631570000,75464000,899340000,21440000,337330000,1034500000,209630000,435740000,90243000,374670000,15220000,45869000,31297000,50771000,47678000,23931000,336740000,124070000,123520000,91108000,38015000,139810000,14139000,3472800000,25755000,93975000,188450000,408390000,67886000,345430000,219380000,22643000,15922000,30351000,2990000,4423400,20514000,1020400000,682440000,2214300000,12575000,3355700,16689000,2253900,167890000,150080000,12036000,235050000,67360000,272060000,399970000,149710000,356720000
42,KRT5,268560000000,269660000000,325120000000,170070000000,109110000000,378270000000,137220000000,35186000000,141640000000,174150000000,76418000000,173410000000,22651000000,74296000000,119270000000,47415000000,129580000000,104980000000,54664000000,124190000000,97820000000,73234000000,97063000000,119160000000,79265000000,212640000000,288020000000,242330000000,159660000000,206350000000,187340000000,44543000000,56732000000,140980000000,89727000000,41334000000,76076000000,419610000000,338080000000,335760000000,221550000000,320340000000,185520000000,255470000000,278000000000,144370000000,144020000000,175340000000,70282000000,43252000000,21416000000,38307000000,12618000000,37707000000,55795000000,54831000000,360340000000,356680000000,430940000000,112800000000,156760000000,169280000000
43,MYOF,2262100000,1318200000,977490000,324690000,110530000,707500000,352810000,538650000,527550000,888180000,1030700000,544300000,295030000,591710000,529950000,734640000,544860000,196020000,502150000,757640000,303900000,534130000,743190000,763380000,298220000,754600000,689800000,893840000,608110000,393470000,701180000,187100000,534990000,484630000,364710000,495530000,607910000,790460000,669390000,967610000,626070000,1372200000,670770000,707130000,513390000,274540000,418980000,2073900000,119980000,74382000,77924000,387450000,84598000,234460000,119600000,10879000,902890000,953080000,1177100000,393490000,866910000,495260000
44,PRPF8,2496200000,965390000,1224300000,1131800000,503560000,1563400000,286380000,258050000,394010000,187680000,1103600000,94228000,136960000,176310000,268750000,200710000,240320000,318130000,148370000,338680000,294410000,179690000,658630000,529290000,296500000,617200000,1289900000,1182100000,316950000,937600000,984980000,24804000,27902000,233150000,42795000,328210000,291860000,266420000,281100000,637710000,249050000,193670000,228130000,414190000,340930000,172620000,60470000,996000000,43252000,226590000,5498000,369590000,10797000,235610000,61643000,2198800,1732300000,1888000000,686460000,237520000,506710000,253290000
