,Gene names,BCC LFQ intensity 12_1L,BCC LFQ intensity 12_3L,BCC LFQ intensity 12_5L,BCC LFQ intensity 27_1L,BCC LFQ intensity 27_3L,BCC LFQ intensity 27_5L,BCC LFQ intensity 39_1L,BCC LFQ intensity 39_3L,BCC LFQ intensity 39_5L,BCC LFQ intensity 89_1L,BCC LFQ intensity 89_3L,BCC LFQ intensity 89_5L,BCC LFQ intensity 72_3L,BCC LFQ intensity 103_1L,BCC LFQ intensity 103_3L,BCC LFQ intensity 103_5L,BCC LFQ intensity 107_3L,BCC LFQ intensity 111_3L,BCC LFQ intensity 49_3L,BCC LFQ intensity 105_3L,BCC LFQ intensity 16_3L,BCC LFQ intensity 99_1L,BCC LFQ intensity 99_3L,BCC LFQ intensity 99_5L,BCC LFQ intensity 109_3L,BCC LFQ intensity 73_1L,BCC LFQ intensity 73_3L,BCC LFQ intensity 73_5L,BCC LFQ intensity 92_1L,BCC LFQ intensity 92_3L,BCC LFQ intensity 92_5L,BCC LFQ intensity 54_1L,BCC LFQ intensity 54_3L,BCC LFQ intensity 54_5L,BCC LFQ intensity 104_1L,BCC LFQ intensity 104_3L,BCC LFQ intensity 104_5L,SCC LFQ intensity 21_1L,SCC LFQ intensity 21_3L,SCC LFQ intensity 21_5L,SCC LFQ intensity 31_1L,SCC LFQ intensity 31_3L,SCC LFQ intensity 31_5L,SCC LFQ intensity 32_1L,SCC LFQ intensity 32_3L,SCC LFQ intensity 32_5L,SCC LFQ intensity 90_1L,SCC LFQ intensity 90_3L,SCC LFQ intensity 90_5L,SCC LFQ intensity 59_3L,SCC LFQ intensity 88_3L,SCC LFQ intensity 110_3L,SCC LFQ intensity 45_3L,SCC LFQ intensity 60_3L,SCC LFQ intensity 95_3L,SCC LFQ intensity 101_3L,SCC&BCC LFQ intensity 25_1L,SCC&BCC LFQ intensity 25_3L,SCC&BCC LFQ intensity 25_5L,keratosis LFQ intensity 33_1L,keratosis LFQ intensity 33_3L,keratosis LFQ intensity 33_5L
480,SERBP1,3815100000.0,8252700000.0,6824600000.0,5085500000.0,4834000000.0,14354000000.0,5150700000.0,2941900000.0,5679700000.0,1585900000.0,1016800000.0,2164200000.0,913660000.0,1737700000.0,1396700000.0,1362700000.0,1389700000.0,890790000.0,1382200000.0,1677600000.0,2121300000.0,2177300000.0,2227600000.0,2332100000.0,1815500000.0,3146900000.0,2174600000.0,2303100000.0,2031300000.0,825720000.0,959710000.0,1920200000.0,965090000.0,1664000000.0,1083200000.0,2234400000.0,1533500000.0,4290400000.0,2691000000.0,3310800000.0,9023800000.0,3965200000.0,4943400000.0,8205600000.0,6669200000.0,4708000000.0,2187900000.0,718030000.0,1443800000.0,1061400000.0,738670000.0,655770000.0,406830000.0,1366000000.0,785150000.0,226240000.0,5208400000.0,5391900000.0,4998000000.0,4521500000.0,5263300000.0,7920300000.0
481,CDC5L,343000000.0,397120000.0,328540000.0,752850000.0,690760000.0,769490000.0,234800000.0,189120000.0,339720000.0,62789000.0,255360000.0,50348000.0,214650000.0,59140000.0,138470000.0,190830000.0,148750000.0,223300000.0,150090000.0,132130000.0,149830000.0,138990000.0,447450000.0,151150000.0,217370000.0,172550000.0,291790000.0,239040000.0,70710000.0,369840000.0,261970000.0,41673000.0,51230000.0,125520000.0,132680000.0,169710000.0,120170000.0,223400000.0,506540000.0,288620000.0,146410000.0,218500000.0,260820000.0,318060000.0,292170000.0,123870000.0,65548000.0,171690000.0,14431000.0,201460000.0,20770000.0,315620000.0,75761000.0,165000000.0,144110000.0,0.0,694550000.0,574660000.0,247560000.0,292100000.0,286480000.0,241200000.0
482,TJP2,398180000.0,1207800000.0,728280000.0,279510000.0,142160000.0,459890000.0,9437700.0,0.0,15888000.0,14004000.0,57421000.0,12881000.0,17219000.0,49746000.0,11704000.0,27510000.0,23873000.0,71688000.0,33645000.0,35425000.0,45330000.0,61227000.0,131940000.0,116540000.0,42678000.0,48067000.0,38761000.0,44071000.0,23198000.0,159350000.0,114110000.0,0.0,0.0,0.0,24871000.0,41032000.0,34956000.0,326520000.0,154700000.0,267980000.0,70952000.0,21603000.0,5391200.0,173360000.0,49221000.0,48498000.0,57035000.0,98149000.0,37169000.0,98252000.0,35580000.0,347730000.0,90984000.0,113520000.0,66436000.0,0.0,250390000.0,238820000.0,89679000.0,81812000.0,56594000.0,33565000.0
483,SRRM2,441620000.0,541760000.0,450720000.0,1114100000.0,1178100000.0,811230000.0,390690000.0,415240000.0,670440000.0,48839000.0,165290000.0,14022000.0,5438900.0,36018000.0,52340000.0,21299000.0,112370000.0,444780000.0,344780000.0,277620000.0,593890000.0,164650000.0,559780000.0,423160000.0,107990000.0,99165000.0,207750000.0,144020000.0,41187000.0,174650000.0,238880000.0,20143000.0,7056700.0,49866000.0,4718400.0,48120000.0,111050000.0,586460000.0,92210000.0,246380000.0,569710000.0,422430000.0,514600000.0,591090000.0,882600000.0,328220000.0,53169000.0,95614000.0,24474000.0,865910000.0,37303000.0,1118300000.0,124560000.0,57914000.0,107250000.0,13212000.0,517740000.0,624740000.0,62759000.0,325460000.0,518900000.0,420090000.0
484,TLN2,250780000.0,195110000.0,337200000.0,348140000.0,171720000.0,294660000.0,256960000.0,315500000.0,106020000.0,15277000.0,14436000.0,17814000.0,34675000.0,64326000.0,21361000.0,26896000.0,27607000.0,8390000.0,98974000.0,41389000.0,64060000.0,55945000.0,14335000.0,18666000.0,8387200.0,12807000.0,43028000.0,35371000.0,21329000.0,58609000.0,18372000.0,37435000.0,48054000.0,12451000.0,48177000.0,24486000.0,22443000.0,198900000.0,3885000000.0,275540000.0,410380000.0,0.0,121280000.0,88206000.0,228680000.0,150420000.0,43761000.0,7934400.0,26000000.0,13281000.0,31270000.0,0.0,11206000.0,22794000.0,10542000.0,0.0,134740000.0,20745000.0,70636000.0,154760000.0,240980000.0,40589000.0
485,AFG3L2,731450000.0,527800000.0,674350000.0,645930000.0,804840000.0,407390000.0,368880000.0,397350000.0,463220000.0,148510000.0,182640000.0,133830000.0,118660000.0,189210000.0,61459000.0,200470000.0,208520000.0,146830000.0,83885000.0,66417000.0,137590000.0,137530000.0,173910000.0,138590000.0,151410000.0,122710000.0,238200000.0,202610000.0,178340000.0,358820000.0,353840000.0,58659000.0,104880000.0,122260000.0,163660000.0,136330000.0,302980000.0,291470000.0,351690000.0,471150000.0,208220000.0,336340000.0,339540000.0,321380000.0,333460000.0,203820000.0,59830000.0,82140000.0,79896000.0,178210000.0,13879000.0,133300000.0,90846000.0,144020000.0,30412000.0,67596000.0,512680000.0,615640000.0,527400000.0,413280000.0,403090000.0,370540000.0
486,PPP1R12A,200040000.0,313850000.0,434840000.0,1106800000.0,801970000.0,1013300000.0,432730000.0,591340000.0,534620000.0,92433000.0,287300000.0,143200000.0,398660000.0,50373000.0,188460000.0,41282000.0,240760000.0,432920000.0,317930000.0,356780000.0,582000000.0,175630000.0,447700000.0,392340000.0,292270000.0,359540000.0,502980000.0,399420000.0,113430000.0,343960000.0,267980000.0,56813000.0,168630000.0,251420000.0,115470000.0,75450000.0,39528000.0,525180000.0,346480000.0,435090000.0,611970000.0,529950000.0,783100000.0,483060000.0,560410000.0,415960000.0,136730000.0,270490000.0,67498000.0,609010000.0,10671000.0,502830000.0,34595000.0,136570000.0,49549000.0,21290000.0,467640000.0,546560000.0,455140000.0,303400000.0,558520000.0,363090000.0
487,TACC2,220710000.0,435080000.0,318150000.0,95614000.0,121760000.0,580340000.0,67143000.0,71561000.0,208800000.0,923050000.0,159410000.0,800040000.0,23312000.0,218670000.0,111450000.0,314370000.0,112930000.0,267850000.0,11557000.0,31280000.0,65254000.0,306620000.0,281780000.0,142180000.0,0.0,167040000.0,155810000.0,144480000.0,249950000.0,44618000.0,99446000.0,229460000.0,76122000.0,529640000.0,94766000.0,28698000.0,38850000.0,391080000.0,325370000.0,364770000.0,307610000.0,621690000.0,259470000.0,346060000.0,379780000.0,343820000.0,525030000.0,458880000.0,549980000.0,17024000.0,163490000.0,11837000.0,25497000.0,70751000.0,302140000.0,47718000.0,372330000.0,354850000.0,618230000.0,225550000.0,158710000.0,331370000.0
488,GOT2,3789000000.0,2730300000.0,3400500000.0,2411200000.0,2380800000.0,1549900000.0,4092300000.0,3897400000.0,3391000000.0,881460000.0,881250000.0,744590000.0,1431200000.0,1225800000.0,717990000.0,951200000.0,1244300000.0,768710000.0,713580000.0,1449100000.0,991890000.0,1175100000.0,1024900000.0,902480000.0,1159700000.0,996010000.0,1442900000.0,956540000.0,1109100000.0,806010000.0,932780000.0,482930000.0,707500000.0,987730000.0,1003900000.0,1664000000.0,1069600000.0,2026500000.0,2214000000.0,3237400000.0,3153300000.0,3032200000.0,2286500000.0,1809600000.0,1967500000.0,2129200000.0,708720000.0,1111800000.0,1008200000.0,1219200000.0,881850000.0,707700000.0,1070300000.0,1407400000.0,1267200000.0,383280000.0,924760000.0,1446100000.0,1363600000.0,3145100000.0,3354100000.0,2393500000.0
489,MB,22876000.0,0.0,17948000.0,0.0,49763000.0,2385100.0,101430000000.0,317340000000.0,25934000000.0,0.0,0.0,0.0,0.0,28791000.0,8515800.0,880770000.0,0.0,0.0,0.0,0.0,3146200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11241000.0,0.0,0.0,0.0,0.0,0.0,15056000.0,15147000.0,76698000.0,38326000.0,14783000.0,32270000.0,0.0,3186100.0,0.0,0.0,3700000.0,0.0,0.0,0.0,0.0,690070.0,0.0,0.0,0.0,0.0,0.0,10305000.0,1414000.0,0.0
